queue,seq,latency_ns
MutexQueue,0,46558
MutexQueue,1,40818
MutexQueue,2,40528
MutexQueue,3,35671
MutexQueue,4,30656
MutexQueue,5,25798
MutexQueue,6,20772
MutexQueue,7,15923
MutexQueue,8,10921
MutexQueue,9,6051
MutexQueue,10,1013
MutexQueue,11,7414
MutexQueue,12,2445
MutexQueue,13,5609
MutexQueue,14,607
MutexQueue,15,10955
MutexQueue,16,5975
MutexQueue,17,1108
MutexQueue,18,10689
MutexQueue,19,5855
MutexQueue,20,872
MutexQueue,21,10429
MutexQueue,22,5436
MutexQueue,23,585
MutexQueue,24,10243
MutexQueue,25,5406
MutexQueue,26,422
MutexQueue,27,6038
MutexQueue,28,1063
MutexQueue,29,10402
MutexQueue,30,5448
MutexQueue,31,997
MutexQueue,32,10722
MutexQueue,33,5884
MutexQueue,34,896
MutexQueue,35,10418
MutexQueue,36,5449
MutexQueue,37,579
MutexQueue,38,10157
MutexQueue,39,5295
MutexQueue,40,301
MutexQueue,41,9978
MutexQueue,42,5085
MutexQueue,43,7332
MutexQueue,44,2349
MutexQueue,45,6041
MutexQueue,46,1059
MutexQueue,47,10676
MutexQueue,48,5710
MutexQueue,49,825
MutexQueue,50,10467
MutexQueue,51,5629
MutexQueue,52,655
MutexQueue,53,10348
MutexQueue,54,5393
MutexQueue,55,512
MutexQueue,56,10010
MutexQueue,57,6409
MutexQueue,58,1402
MutexQueue,59,5494
MutexQueue,60,535
MutexQueue,61,9694
MutexQueue,62,4745
MutexQueue,63,1578
MutexQueue,64,10814
MutexQueue,65,5958
MutexQueue,66,967
MutexQueue,67,6643
MutexQueue,68,1685
MutexQueue,69,5464
MutexQueue,70,507
MutexQueue,71,9818
MutexQueue,72,4860
MutexQueue,73,42553
MutexQueue,74,37646
MutexQueue,75,32763
MutexQueue,76,27779
MutexQueue,77,22887
MutexQueue,78,17909
MutexQueue,79,13684
MutexQueue,80,8686
MutexQueue,81,3813
MutexQueue,82,3753
MutexQueue,83,8761
MutexQueue,84,3814
MutexQueue,85,6479
MutexQueue,86,1525
MutexQueue,87,6333
MutexQueue,88,1366
MutexQueue,89,11187
MutexQueue,90,6281
MutexQueue,91,1395
MutexQueue,92,7275
MutexQueue,93,2405
MutexQueue,94,4811
MutexQueue,95,1886
MutexQueue,96,10768
MutexQueue,97,5939
MutexQueue,98,939
MutexQueue,99,6498
MutexQueue,100,1513
MutexQueue,101,10616
MutexQueue,102,5675
MutexQueue,103,784
MutexQueue,104,10418
MutexQueue,105,5573
MutexQueue,106,591
MutexQueue,107,11265
MutexQueue,108,6320
MutexQueue,109,1448
MutexQueue,110,10859
MutexQueue,111,6347
MutexQueue,112,1356
